negative	在地狱受苦，又有谁作为旁证看到了！古代或许可以信以为真，我想现代人应该不会信以为真吧！
neutral	我一直做着一个同样的梦，当时投胎下来。
neutral	为什么觉得这么虚伪？阿弥陀佛～
positive	是什么让他们这么年轻就看破了红尘？
positive	唐太宗{大唐三藏圣教序}碑文记述玄奘法师幼年出家“翘心净土”，记述玄奘法师在东都净土寺出家，后往游西域的史实。唐玄奘从印度带回的贝叶经经书，有一部分特意存放在当年出家的净土寺。　清人张文德有《春日游净土、清凉、金山诸寺》诗：“晚来汲露煮茗芽，古寺无人犬护家。座上真文余贝叶，阶前云气绕昙花。蒲团半纳随藜枝，舍利多珠隐木瓜。为问老僧何处去，白云深锁众峰斜”。“座上真文余贝叶”讲的就是洛阳伊川净土寺保存的玄奘从印度带回的贝叶经。
negative	果报是存在的，但是根本不是普通佛教徒理解的那回事。<br><br>很多佛教论述把果报神话了。
negative	睁眼看看印度吧，佛祖的地方，那里的平民非常迷信，所以他们变得非常愚昧无知，就像未开化的人一样。加强学校教育才是正道，千万别搞佛教误人。
positive	阿弥陀佛
positive	那摩阿弥陀佛。
positive	大家之见 觉悟人生。<br>南无阿弥陀佛
negative	不能叫永信应该叫不信
positive	那和尚当时的做法是可以理解的，一个战乱无序的国家必然无法保护自己的文化瑰宝，我们现在的国家从然万般不是，也请大家擦亮眼睛不要被那些助涨分裂混乱的破坏者利用
neutral	天朝无净土，佛门起纷争！
negative	我迷拖累佛简称：我迷拖佛！
negative	难道我千年古刹被魔教控制了？朝廷怂包一个，我武林正义之士共伐之！！一群假和尚，坏我少林清誉！那些武僧是不是就是传说中的打手？
neutral	果然是棒子
neutral	太萌3
positive	群众拥护，百姓信赖，人民支持
negative	才发现原来和尚骂人这么厉害我和我的小伙伴都惊呆了这算什么现在都说做和尚比考大学都难就这种和尚吗和尚也可以走后门的？这样的佛祖也会要？
positive	无量顶礼，无量赞叹。。
neutral	技艺精湛
neutral	弘扬佛教可以无国界，方丈云游四海无可非议，但若方丈成了“CEO”，肯定有违佛教教义。阿弥陀佛！
positive	屠杀性口却是残忍
negative	披着羊皮的狼
negative	佛都完犊子了，这个社会还有信仰么！！！！！！！！
negative	只是觉得他做的一切都有点变味了
positive	空是指包罗地、水、火、风在内的一切事物和理论的总结之词汇称谓，故简说四大皆空。此空非彼空。诸法无实有，眼前皆幻象。
negative	是宇宙最上等的王道礼仪。没有什么魔的。把他调教过来包括杀了投胎再教育改造就可以了。
positive	人类实在太可怜了[哭泣]
positive	说因果者，勿忘三世
positive	希望尽早查明真相
positive	佛以大悲不入涅槃、正在人间往返应化的大乘正见！
positive	阿弥陀佛！
neutral	能不能换个配图
neutral	有的司机真的是瞎，或者说就是成心
negative	达摩一苇渡江，其实是踩着柱子划过去的，这种水上漂已经不易了，喷子们，如果不服，不要说，不借物，如果能跑5米，我拜你为师！！人的脚掌没那么大，如果不借物，那得多块速度，你们算算
negative	纯粹是一派胡言！帮助别人快乐自己；不过行善还是能求得心情愉快啊！
negative	那也是个骗子，你就是一被骗习惯了傻子，哈哈哈
negative	这不是轻功。
negative	这是宣传男尊女卑的封建思想。随着社会的进步，佛教也要去除糟粕，男尊女卑封建思想一定要废除的，人生而平等，不分男女
positive	善哉！善哉！善能引导人生不向众生索要所谓的营养，就是一种无量的功德唉！
positive	功德无量
positive	凡所有相，皆是虚妄！
negative	经鉴定，假的
neutral	如此不作为，我儿子都能当官咯
positive	相信习大大，也相信在他的领导下中国会越来越强大！
negative	出家人不打诳语   你他妈是出家人么？
positive	真是好文章
negative	还要靠科技解决问题
neutral	咋没有张铁林
neutral	故也者所得而成也，小故不必然无故必不然此之谓乎？要素关乎大哉！
positive	要弘扬，要入世，要深入浅出，要因人因势因才而异施教，阿弥陀佛！
negative	金钱之争
negative	总感觉有天大的阴毛
positive	我真的看见过杀一头牛，哪牛知道要被杀，真的流眼泪。
neutral	拿个佛经就像拿个照妖镜，这里照照，嗯，有妖怪，那里照照，嗯妖怪，你们佛教徒说说是不是？还有照魔镜，楞严经，对不对，一照鄙人，马上变成妖怪，然后就被你们弄地狱去了，对吧？
negative	中国人应该全杀了
positive	南无阿弥陀佛！
positive	皎皎者易污   峣峣者易折
positive	顶礼十一世班禅活佛！
neutral	您母亲也是女的！
positive	正法久住
negative	帕斯曾说：世界上有两个民族最可怜：<br>以色列人没有身体，<br>中国人没有灵魂。
negative	我想问问，佛教和少林寺能划等号吗？别让这些老鼠屎伤害广大信众。
positive	诸法无我 诸行无常 涅磐寂静
neutral	有大水的征兆！
negative	其实少林寺早就是一个旅游景区了（上世纪80年代，有些青年爬山涉水去寻找电影里的“少林寺”，当时报刊杂志上多次声明过，少林寺现在是旅游景区），公司化管理、商业化运作是必然的，和尚其实是道具，专门来骗傻子的钱。
positive	商业化即世俗化！这实际上是一个有大魄力的文化概念！佛如果在商业化之中修成，那肯定不得了，可问题是，商业化之时，佛没有被世俗化，而是世俗化了佛，使佛被淹没在世俗化中，也即魔战胜了佛，这是非常危险的。
neutral	恭喜发财要咩有咩
neutral	虽说国宝分国界，但艺术不分国界
positive	再说了，你以为出家的人像入世人一样多吗，你那么不信就不要说话，小心报应不爽。
positive	关于嫖娼问题，警方和国家宗教事务局，早已公开澄清，遗憾的是，你竟然不知道。你自己搜索，关键词是：1.国家宗教局一司负责人就造谣中伤释永信事件发表谈话”。2.嫖娼一事确定是假的”。
positive	伟大的中国人
positive	尊重不提倡，真正参透佛法者毕竟是少数人。南无额弥陀
negative	肥猪这重量果然够稳当，难怪。
positive	赞
neutral	把十方供养当利润，希望沾手的人有福报花。
positive	信仰的山谷，和谐
positive	大慈恩寺方丈增勤大和尚对智及法师一行14人参访西安大慈恩寺，拜谒玄奘法师当年译经道场表示热烈欢迎。他向智及法师一行简单介绍了大慈恩寺的历史沿革，以及玄奘大师当年在此率领僧众建立译场、翻译佛教经典，弘扬法相唯识的历史。
